feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,file_id
-318.776019056788,112.04451387805759,1.6185813991809792,19.68356709165393,11.921137686017548,-11.748167345799365,0.2910031723807443,-9.30567404848506,-9.66601657009912,-7.103762262581654,-11.278328617071768,-0.6614898923854783,-1.6657227733084616,22.25725558321431,0.04795438015353284,0.07890256485849056,3000-15664-0005.flac
-277.16968920276423,92.04886978295198,20.99324172773179,25.16020687361052,1.8444043929409828,5.350869703824353,-16.969803643928973,1.6874214839783443,-15.70771082381534,-1.0817543099260634,-10.033583833723311,-4.283949855311661,-5.06737133651782,19.839933692364937,0.0470588100113117,0.11213674363057324,422-122949-0016.flac
-223.90265378469152,86.12423783003152,14.635851100181476,37.64232871018916,4.593718482983075,6.7699454201597575,-26.3017274169605,0.18559907769336353,-11.891025322524808,-4.800263773614565,-9.323613166019227,-5.623917469141793,-9.978387770113311,22.144538052804485,0.07574032440367509,0.12107520767405064,422-122949-0000.flac
-300.06428183109387,84.05462495107716,3.9031527928256113,18.724946790434625,13.60841458837647,-10.034041222697551,1.152231226136925,-7.994123543826265,-5.291332280143686,-2.1784055690631408,-15.591927067641544,-6.541490728582401,-5.357069465870021,27.33292011663728,0.0541918677753437,0.15251397649082568,3000-15664-0044.flac
-293.37404245943634,82.32609388957152,-30.14392694448297,8.934900218570554,-21.90455217015099,-9.503829746431595,-20.846983556610507,-8.956617541007093,-3.8393076434731483,-11.752452491304359,-7.237785348920403,0.1834917739033699,-5.100237133937913,53.55286610609776,0.04992286056811871,0.16089527027027026,2035-147961-0038.flac
-317.0839945961984,73.72283823745387,-18.883171781683654,18.311768238481722,-20.528992663730275,-8.685043675192235,-23.27604773319794,-8.413128622375321,-10.294774222602115,-3.7821903124487286,-2.767948298862106,2.676700247389278,-0.6434980831220389,42.225693971203846,0.033061290251171334,0.15789473684210525,2035-152373-0008.flac
-331.41509022746055,94.94579129275326,12.524060287884065,11.168531094606106,10.024008075465689,-6.796814454393787,-1.4332254055913511,-3.9817570693843014,-1.1476732818605182,-5.632347009711332,-8.503758378691607,-2.5939434038383977,-4.160798170037203,26.664183107341504,0.047138082408176296,0.13665728802447552,3000-15664-0013.flac
-340.15440052311595,80.90343977862257,-15.867853830015756,14.31960447950334,-23.092177709428274,-9.051268603743576,-17.16603941524901,-10.232205273174658,-10.503361132329072,-8.382719896188597,-4.422355689774684,3.13135165751465,-3.9613032780769393,58.035955004575776,0.03180068609923715,0.16906440548780488,2035-147961-0014.flac
-315.76453673533905,82.70516511843755,-20.254731481808882,16.06561066187345,-21.051743576771173,-2.2515468609638702,-14.81772309709818,-8.95580834157956,-8.34932009822283,-6.518879563495135,-4.480435178982906,-4.064682891506415,-0.5074349686885491,36.49589393169452,0.03711339816158542,0.13313050881410257,2035-147960-0008.flac
-301.4933097510817,116.30505483800715,9.915643845733843,6.647134785446824,6.495513359467949,-9.117981897729436,-4.2824530113114125,-6.953153008693143,-7.497083011711614,-2.0529071125402405,-10.743173520744703,-1.9732973564897427,-19.400222778462908,22.821585490087575,0.07091783612672575,0.10192228618421052,251-118436-0014.flac
-368.3856403084018,85.86883334221146,8.178422257839394,-2.548107572421009,-5.360967358422865,-17.04983677454504,-26.96094231094834,-19.409038934201735,-8.730063559765627,-1.8370558030283632,-0.3401012131645008,3.5325754876961555,-6.177647778239728,34.084528879091735,0.020962562851882003,0.1407874527410208,2902-9008-0001.flac
-317.4389953322083,119.7988012292003,-8.775385874373312,30.63431443785893,-5.465973112874359,14.656302264059773,-0.2879102225522049,1.022261538350855,9.199421047481872,1.7194081221828024,5.129607086645738,0.3760942252537676,2.944065835867219,7.296403103202354,0.04780963511128007,0.049868052242366415,1988-147956-0015.flac
-286.0972388381258,77.50460125710985,10.909955603335428,6.8534478439240285,4.24699258107111,-6.0922924232318865,-8.559167671914494,-10.2042030596405,-9.5181990157847,-11.564394930087099,-13.709486390472552,-6.598370865260789,-18.11942418083685,31.5406621715071,0.06470337246769346,0.13820599197247707,251-118436-0002.flac
-324.7654070960151,89.04246274166637,18.7989573225379,22.90176530737016,11.515569937436117,-9.587002341945967,-1.645570446881983,-0.7223686911579635,-1.7372650472654236,-6.6714016303420065,-13.624499662386047,-2.2252324329482183,-3.3897543570233717,19.099786135885452,0.05895835435613764,0.11383734809027778,3000-15664-0029.flac
-325.4377714059292,132.98531703459912,-13.275473569448177,13.967140269585144,-12.421909362841875,7.278204893454527,2.7211227321471925,0.9197501014822569,12.294076360188997,6.114343053255325,-2.0127847420099454,-1.280626885783978,-2.3276104567906795,15.19563709371365,0.05676840159755487,0.04712540064102564,1988-147956-0003.flac
